,name,Likes,tags,quote
0,Benjamin Disraeli,259 likes,authors,"“The greatest good you can do for another is not just share your riches, but to reveal to him his own.”"
1,Shannon L. Alder,145 likes,"acting,altruism,authors,blogs,charity-organizations,community-service,counselors,documentary,freethinkers,givers,healers,health-careers,influence,life-coach,magnify-your-talents,movies,news,newspapers,overthinkers,pastors,philosophy,preachers,psychologists,psychology,public-education,public-speakers,service,speakers,talents,television,theatre,therapists,thinkers,websites,writers","“If you were born with the ability to change someone’s perspective or emotions, never waste that gift. It is one of the most powerful gifts God can give—the ability to influence.”"
2,Carlos Ruiz Zafón,139 likes,authors,“The only way you can truly get to know an author is through the trail of ink he leaves behind him. The person you think you see is only an empty character: truth is always hidden in fiction.”
3,Jennifer Donnelly,137 likes,"authors,feminism,gender-roles,loneliness,writing","“And I knew in my bones that Emily Dickinson wouldn't have written even one poem if she'd had two howling babies, a husband bent on jamming another one into her, a house to run, a garden to tend, three cows to milk, twenty chickens to feed, and four hired hands to cook for. I knew then why they didn't marry. Emily and Jane and Louisa. I knew and it scared me. I also knew what being lonely was and I didn't want to be lonely my whole life. I didn't want to give up on my words. I didn't want to choose one over the other. Mark Twain didn't have to. Charles Dickens didn't.”"
4,Mary Gaitskill,126 likes,"authors,inspiration,readers,vision,writing","“Writing is.... being able to take something whole and fiercely alive that exists inside you in some unknowable combination of thought, feeling, physicality, and spirit, and to then store it like a genie in tense, tiny black symbols on a calm white page. If the wrong reader comes across the words, they will remain just words. But for the right readers, your vision blooms off the page and is absorbed into their minds like smoke, where it will re-form, whole and alive, fully adapted to its new environment.”"
5,Hiromu Arakawa,96 likes,"authors,fma,fullmetal-alchemist,humor,manga",“Fool! Nothing but black ink runs through my veins!”
6,Benjamin J. Carey,87 likes,"anger,art,authors,babies,birth,books,boredom,death,depression,disdain,disease,disgust,distance,dying,enjoyment,family,fondness,friendship,grieving,happiness,hate,illness,knowlege,literature,love,marriage,mourning,obsession,passion,reading,romance,sadness,thirst",“At the end of the day your ability to connect with your readers comes down to how you make them feel.”
7,Kim Addonizio,84 likes,"authors,poetry,writers,writing","“. . . All artists’ work is autobiographical. Any writer’s work is a map of their psyche. You can really see what their concerns are, what their obsessions are, and what interests them.”"
8,Walter Farley,84 likes,"author-quotes,authors,be-yourself,enjoy-life,follow-your-dreams,inspirational,life,life-lessons,passion,writers,writers-on-writing,writing","“I believe that half the trouble in the world comes from people asking 'What have I achieved?' rather than 'What have I enjoyed?' I've been writing about a subject I love as long as I can remember--horses and the people associated with them, anyplace, anywhere, anytime. I couldn't be happier knowing that young people are reading my books. But even more important to me is that I've enjoyed so much the writing of them.”"
9,Germany Kent,83 likes,"achieve-your-dreams,achievement-and-attitude,achievements,achievements-success,attitude,attitude-inspiration,attitude-toward-life,authentic-self,authenticity,author,author-quotes,authority,authors,award-winning-authors,be-honest-with-yourself,believe,best-selling-authors,challenge-and-attitude,challenge-inspiration-motivation,challenges-in-life,challenges-of-life,change,changing,changing-your-life,changing-yourself,character,comfort-zones,complain,complaining,complaining-about-your-struggles,complaining-quotes,complaints,complete,control,direction,don-t-settle,ethics,everyone,evolving,future,germany-kent,germany-kent-quote,germany-kent-quotes,grow,growing,habits,habits-of-action,habits-of-mind,happiness,happy-endings,happy-soul,have-faith,hope-guru,how-to,influence,inspirational-attitude,inspiring,joy,joyful-life,know-your-worth,know-yourself,knowledge,knowledge-of-oneself,knowledge-of-self,learn,learning,life,life-lessons,lifetime,listen,live-each-moment,live-truly,manifest,motivation,motivational-authors,motivational-speaker,motivational-speaker-quotes,motivational-speakers,motivational-writers,no-excuse,no-excuses,no-excuses-mindset,no-filter,no-limit,no-limit-people,opportunities,passion,past,pay-attention,pay-attention-to-your-thoughts,perception,perfect-timing,perseverance,persistence,personal-development,personal-growth,personal-power,positive,positive-attitude,positive-outlook,positive-thoughts,positivity,principles,progress,psychology,purpose,real-talk,regret,rules,sacrifice,sacrifice-for-gain,sacrifice-in-life,sanity,self-help-authors,significant,significant-life,step-out,step-out-of-your-comfort-zone,strength-through-adversity,success,successful-people,the-hope-guru,try,trying,trying-hard,trying-new-things,win-in-life,winners,work-hard,worth-the-wait,your-journey,youth",“How to win in life:
